,良性,历史,扩展语法,通用/专用,应用场合,GHC Reference
AllowAmbiguousTypes,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#ambiguity
Arrows,,,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/arrow-notation.html
AutoDeriveTypeable,,,,专用,Metaprogramming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#auto-derive-typeable
BangPatterns,✓,,✓,通用,Strictness Annotation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/bang-patterns.html
CApiFFI,,,,专用,FFI,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/ffi.html#ffi-capi
ConstrainedClassMethods,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#class-method-types
ConstraintKinds,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/constraint-kind.html
CPP,✓,,✓,通用,Preprocessor,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/options-phases.html#c-pre-processor
DataKinds,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/promotion.html
DatatypeContexts,,✓,✓,Deprecated,Deprecated,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/data-type-extensions.html#datatype-contexts
DefaultSignatures,✓,,,专用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#class-default-signatures
DeriveDataTypeable,✓,,,通用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#deriving-typeable
DeriveFoldable,✓,,,通用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#deriving-typeable
DeriveFunctor,✓,,,通用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#deriving-typeable
DeriveGeneric,✓,,,通用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#deriving-typeable
DeriveTraversable,✓,,,通用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#deriving-typeable
DisambiguateRecordFields,✓,,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#disambiguate-fields
DoRec,,✓,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.6.3/html/users_guide/syntax-extns.html#recursive-do-notation
EmptyCase,,,,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#empty-case
EmptyDataDecls,✓,,,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/data-type-extensions.html#nullary-types
ExistentialQuantification,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/data-type-extensions.html#existential-quantification
ExplicitForAll,,,✓,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#explicit-foralls
ExplicitNamespaces,✓,,✓,专用,Syntax Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#explicit-namespaces
ExtendedDefaultRules,✓,,,专用,Generic Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/interactive-evaluation.html#extended-default-rules
FlexibleContexts,,,,通用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#flexible-contexts
FlexibleInstances,,,,通用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#instance-rules
ForeignFunctionInterface,,,✓,通用,FFI,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/ffi.html
FunctionalDependencies,,,,通用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#functional-dependencies
GADTs,,,,通用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/data-type-extensions.html#gadt
GADTSyntax,,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/data-type-extensions.html#gadt-style
GeneralizedNewtypeDeriving,,,,通用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/deriving.html#newtype-deriving
GHCForeignImportPrim,,,,专用,FFI,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/ffi.html#ffi-prim
ImplicitParams,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#implicit-parameters
ImpredicativeTypes,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#impredicative-polymorphism
IncoherentInstances,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#instance-overlap
InstanceSigs,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#instance-sigs
InterruptibleFFI,,,,专用,FFI,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/ffi.html#ffi-interruptible
KindSignatures,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#kinding
LambdaCase,✓,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#lambda-case
LiberalTypeSynonyms,,,,专用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/data-type-extensions.html#type-synonyms
MagicHash,,,,专用,GHC Internals,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#magic-hash
MonadComprehensions,,,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#monad-comprehensions
MonoPatBinds,,,,专用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.6.3/html/users_guide/monomorphism.html
MultiParamTypeClasses,✓,,,通用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#multi-param-type-classes
MultiWayIf,,,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#multi-way-if
NamedFieldPuns,,,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#record-puns
NegativeLiterals,,,,通用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#negative-literals
NoImplicitPrelude,,,,专用,Import Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#rebindable-syntax
NoMonoLocalBinds,,,,通用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#mono-local-binds
NoMonomorphismRestriction,,,,通用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#monomorphism
NPlusKPatterns,,✓,✓,Deprecated,Deprecated,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#n-k-patterns
NullaryTypeClasses,,,,专用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#nullary-type-classes
NumDecimals,,,,通用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#num-decimals
OverlappingInstances,,,,专用,Typeclass Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#instance-overlap
OverloadedLists,,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#overloaded-lists
OverloadedStrings,,,,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/type-class-extensions.html#overloaded-strings
PackageImports,,,✓,通用,Import Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#package-imports
ParallelArrays,,,,专用,Data Parallel Haskell,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/lang-parallel.html
ParallelListComp,,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#parallel-list-comprehensions
PatternGuards,,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#pattern-guards
PatternSynonyms,✓,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#pattern-synonyms
PolyKinds,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/kind-polymorphism.html
PolymorphicComponents,,✓,,专用,Deprecated,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#universal-quantification
PostfixOperators,✓,,✓,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#postfix-operators
QuasiQuotes,,,,专用,Metaprogramming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/template-haskell.html#th-quasiquotation
Rank2Types,,✓,,专用,Historical Artificat,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#universal-quantification
RankNTypes,,,,专用,Typelevel Programming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#universal-quantification
RebindableSyntax,,,✓,专用,Metaprogramming,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#rebindable-syntax
RecordWildCards,✓,,✓,通用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#record-wildcards
RecursiveDo,,,,专用,Syntax Extension,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/syntax-extns.html#recursive-do-notation
RelaxedPolyRec,,,,专用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/other-type-extensions.html#typing-binds
Role Annotations,,,,专用,Type Disambiguation,http://www.haskell.org/ghc/docs/7.8.2/html/users_guide/roles.html
